threads,avg_throughput,min_throughput,max_throughput,num_records
1,0.690,0.660,0.740,4
2,1.177,0.740,1.380,4
4,2.093,0.730,2.700,4
8,3.383,0.750,4.940,4
16,4.935,0.750,8.270,4
32,5.820,0.740,10.170,4
48,6.235,0.740,10.890,4
